7zip 24.09-3
adobe-source-han-sans-otc-fonts 2.004-2
alacritty 0.15.1-1
base 3-2
base-devel 1-2
bridge-utils 1.7.1-2
cliphist 1:0.6.1-1
discord 1:0.0.95-1
dnsmasq 2.91-1
dolphin 25.04.1-1
dosfstools 4.2-5
dunst 1.12.2-1
egl-wayland 4:1.1.19-1
firefox 139.0.1-1
flatpak 1:1.16.1-1
fonts-tlwg 0.7.3-1
freerdp 2:3.15.0-1
git 2.49.0-2
google-chrome 137.0.7151.55-1
gparted 1.7.0-1
grim 1.4.1-3
grub 2:2.12.r292.g73d1c959-1
gst-plugin-pipewire 1:1.4.4-1
gvfs 1.57.2-3
htop 3.4.1-1
hyprland 0.49.0-1
intel-media-driver 25.2.3-1
intel-ucode 20250512-1
iwd 3.8-1
kitty 0.42.1-1
lib32-nvidia-utils 570.153.02-1
libpulse 17.0+r43+g3e2bb8a1e-1
libretro-gambatte 1069-1
libretro-mgba 9298-2
libva-intel-driver 2.4.1-5
libva-nvidia-driver 0.0.13-1
linux 6.14.9.arch1-1
linux-firmware 20250508.788aadc8-2
mtools 1:4.0.48-1
nano 8.4-1
neofetch 7.1.0-2
neovim 0.11.1-2
noto-fonts 1:2025.06.01-1
ntfs-3g 2022.10.3-2
nvidia 570.153.02-3
nvidia-utils 570.153.02-1
openssh 10.0p1-3
otf-font-awesome 6.7.2-1
pavucontrol 1:6.1-1
pipewire 1:1.4.4-1
pipewire-alsa 1:1.4.4-1
pipewire-jack 1:1.4.4-1
pipewire-pulse 1:1.4.4-1
polkit-kde-agent 6.3.5-1
power-profiles-daemon 0.30-1
prismlauncher 9.4-1
qemu-base 10.0.0-5
qt5-wayland 5.15.17+kde+r57-1
qt6-wayland 6.9.0-2
reflector 2023-3
remmina 1:1.4.40-1
retroarch 1.20.0-3
retroarch-assets-xmb 1:528-1
rofi 1.7.9.1-1
sddm 0.21.0-6
slurp 1.5.0-1
smartmontools 7.5-1
spotify-launcher 0.6.3-1
spotify-player-full 0.20.5-1
spotifyd 0.4.1-1
steam 1.0.0.82-2
swww 0.9.5-2
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
udiskie 2.5.7-1
unixodbc 2.3.12-3
vde2 2.3.3-6
vim 9.1.1376-1
virt-manager 5.0.0-1
virt-viewer 11.0-4
vulkan-intel 1:25.1.1-2
vulkan-nouveau 1:25.1.1-2
vulkan-radeon 1:25.1.1-2
waybar 0.12.0-1
wget 1.25.0-2
winbox 4.0beta21-1
wine-gecko 2.47.4-2
wine-mono 10.0.0-1
winetricks 20250102-1
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
xdg-desktop-portal-hyprland 1.3.9-9
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xf86-video-vmware 13.4.0-4
xorg-server 21.1.16-1
xorg-xinit 1.4.4-1
xrdp 0.10.3-1
yay 12.5.0-1
yay-debug 12.5.0-1
zram-generator 1.2.1-1
zsh 5.9-5
